title,link,rating,price
"ASUS TUF F15 13th Gen, Intel Core i7-13620H Gaming Laptop(NVIDIA RTX 4060-8GB/140W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/RGB KB/90Whr/Windows 11/Office 2021/Mecha Gray/2.20kg) FX507VV-LP287W",https://amazon.in/ASUS-39-62cm-i7-13620H-GeForce-FX507VV-LP287W/dp/B0D25TQNN7/ref=sr_1_94?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.WWSHczifcvvuADa-kTIh3QW_LlSjhDb8NF2mc9Lr7fHLcvRTtuPARgdroPCBxsUaxGso_jB6KKVCoTTyIB2HVHPCG2s_4NwBdJwrBQIryknFFnZTUyEIT826A_AJ1hoLa61GkqvYtDekSPCGpDtOGIr2XpcC1cpdDlUNu0Bpknf0cTNb8nw-RX9pQodO5SaWG6IKGc1biKuXfsxJuLBn90_a7KW92AEHIdq03Kw1WTU.u596WSkSYp3bJmHna159OMFGkAPlUx-QJRNf_3MdXwc&dib_tag=se&keywords=Laptop+i9&qid=1750721594&sprefix=laptop%2Caps%2C207&sr=8-94,4.1 out of 5 stars,"99,990"
"Commercial 14 H, Intel 13th Gen i7-13700H, 36CM Business Laptop(32GB/1TB NVMe SSD/Windows 11 Pro/Intel Xe Graphics/Solid Grey/1.6Kg), A13MG vPro-065IN",https://amazon.in/MSI-Commercial-i7-13700H-Business-vPro-065IN/dp/B0CV3WFK56/ref=sr_1_190?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.owV9zAECp_tjY3Zh5-HxUjlRxbga7rC8aj3ic83gIQ74_wZtAaPcLl6VA-dZgTA1-ntfy5lpY0ce7o01h9u8C9PVzgyzNKVZPzWqMhghgVRi44AD2kGGlbRxgNlqRvq07oKVyEKUVnMHfdKhKYCPLxpn3MMbzYb1ig-cViLb378fhR25bJ50PShCj1gVa3oTik9TnT1MJpYKNXp4e8NDtYaJd_PYetVmsds_TFsZh4Y.jmZWMcKYLUWxCX1bCO1ipEUlTbmATD_ldwHlr3r9Xec&dib_tag=se&keywords=Laptop+i9&qid=1750721639&sprefix=laptop%2Caps%2C207&sr=8-190,4.0 out of 5 stars,"98,711"
"HP OMEN, 13th Gen Intel Core i7-13620H, 6GB NVIDIA RTX 4050, 16GB DDR5, 1TB SSD, 144Hz, IPS, 16.1-inch(40.9cm) FHD Gaming Laptop, RGB Keyboard, Enhanced cooling (Win11,Office21,Black, 2.35kg) wd0011TX",https://amazon.in/HP-i7-13620H-15-6-inch-Speakers-wd0011TX/dp/B0D2DCTP2Y/ref=sr_1_66?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.DHDa_XMmVE6xSkphu8kG6wIzfWD9tu8U0JjP2ctIq8oshk6ejJ8GzUI_bqZp5AQFL_2XgrcQ4wuMtOw57z4z5hiGy8oAbKu4uXtE_FpCkS3HALLedm_8AJUd6_0OJOKMNWDPE_1Wtuy_fWsTT2VRDDWhrcQSTyM-uQUlXnI4R5RhbCTIve7OsxWqYBxr1KJmE1ZrzHCsm8A4l8iIW2O0Z5fPaVGgq3BPW4P1XYlMW-c.paeK3WuO_qoOCeg01n9kkyKN4jOWjHPyVZTkMU9PVEs&dib_tag=se&keywords=Laptop+i9&qid=1750721583&sprefix=laptop%2Caps%2C207&sr=8-66,N/A,"97,000"
"Samsung Galaxy Book3 Pro Intel 13th Gen i7 EvoTM 35.56cm(14"") Dynamic Amoled 2X, 3K Display, 120Hz, Ultra Thin & Light Laptop(16 GB/1 TB SSD/Windows 11/MS Office/Graphite/1.17Kg), NP940XFG-KC5IN",https://amazon.in/Samsung-35-56cm-Dynamic-Graphite-NP940XFG-KC5IN/dp/B0BSH521SV/ref=sr_1_210?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.49B2vQVLutL488BqwV2Q8xayidvH6JkqjmDmx7q9VQHsiUHWyt5rvrqvgJTRXu5T4EoZUIqLNOyJLuLp_D-zLYrpzz07SGhRAUwqfPjzcSCrCJEaAObuaHyZBeAeH24nUC9pOXlfs2Y4HG5Cpknx60FP5uyJ0b-y1ueiNwyTEgvU1SpB0IbuTPYzeyO4eZkL4XIIxdxoPThAAZ5eC3g0pkbGy6uP_9T9rN9uZY8hvzk.s2i2nbntk0QtYhsl7GgBVMJrC9G2YNW9RTsmXbknXVA&dib_tag=se&keywords=Laptop+i9&qid=1750721643&sprefix=laptop%2Caps%2C207&sr=8-210,4.8 out of 5 stars,"94,990"
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Midnight",https://amazon.in/Apple-MacBook-13-inch-10-core-Unified/dp/B0DZDDV7GC/ref=sr_1_83?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.WWSHczifcvvuADa-kTIh3QW_LlSjhDb8NF2mc9Lr7fHLcvRTtuPARgdroPCBxsUaxGso_jB6KKVCoTTyIB2HVHPCG2s_4NwBdJwrBQIryknFFnZTUyEIT826A_AJ1hoLa61GkqvYtDekSPCGpDtOGIr2XpcC1cpdDlUNu0Bpknf0cTNb8nw-RX9pQodO5SaWG6IKGc1biKuXfsxJuLBn90_a7KW92AEHIdq03Kw1WTU.u596WSkSYp3bJmHna159OMFGkAPlUx-QJRNf_3MdXwc&dib_tag=se&keywords=Laptop+i9&qid=1750721594&sprefix=laptop%2Caps%2C207&sr=8-83,4.5 out of 5 stars,"94,990"
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Starlight",https://amazon.in/Apple-MacBook-13-inch-10-core-Unified/dp/B0DZDC247V/ref=sr_1_143?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.Bd_XATWCHSnCNKwOsWMjhIAzu7s0JnG7U0v1mrEovmoz__gmqufwDVVuFv4pZeNUv-A1MfJeUz1vbPJZNe-s0eg9KD3P4qcbx6tZiX50Y7BMb_0u3Q2ICZ60QAdfZKuk8Q-M5tp1VJcoN_XD2spPaW5nRcTbV-NtX9b3d8-L0mVgSYw5I8mUrMehQMei_X162P1ThgO0YibJe-NL1g7dXQVbAeHP0mijKA4kwwZD2SA.kbkgNfIWVFYxks7opK4SYRQuTOrNUPE_wGkknbPBm64&dib_tag=se&keywords=Laptop+i9&qid=1750721609&sprefix=laptop%2Caps%2C207&sr=8-143,4.5 out of 5 stars,"94,990"
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Sky Blue",https://amazon.in/Apple-MacBook-13-inch-10-core-Unified/dp/B0DZDDQ429/ref=sr_1_38?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.NtgkTkiKPErbBGztwsc1_LvV-T5fOfrUJPx6IdkaOBwZCcXf19oOLplUgbrohsWlofYL5dShEAvUWaBF6Wq1JGNrdvFaFcpxqnXJ6q3m4s8FXxrmsSSF_rWmQFabuh7UV8PiptAT6dMmqgds_sdQc9CAMdlefmwe9SpGrwaRSpI-39Mtq4Sb2ReEfw1mYtK58oyTjcRnSCC8duahuf4SKJ_DdPPyA66proX-Eg1WXm8.kBok-Q9cw-TcuNZpjd_UxqSqlMCiU5obNU54ZLz3HHo&dib_tag=se&keywords=Laptop+i9&qid=1750721579&sprefix=laptop%2Caps%2C207&sr=8-38,4.5 out of 5 stars,"94,990"
"HP Pavilion x360, 13th Gen Intel Core i7-1355U Laptop (16GB RAM, 512GB SSD) Touchscreen 2-in-1, IPS, 14""/35.6cm, FHD, Win 11, MS Office, Silver, 2.33Kg, Iris Xe, Backlit KB, B&O, 14-ek1021TU",https://amazon.in/HP-Pavilion-x360-multitouch-Enabled-14-ek1021TU/dp/B0CBBWW9YW/ref=sr_1_195?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.owV9zAECp_tjY3Zh5-HxUjlRxbga7rC8aj3ic83gIQ74_wZtAaPcLl6VA-dZgTA1-ntfy5lpY0ce7o01h9u8C9PVzgyzNKVZPzWqMhghgVRi44AD2kGGlbRxgNlqRvq07oKVyEKUVnMHfdKhKYCPLxpn3MMbzYb1ig-cViLb378fhR25bJ50PShCj1gVa3oTik9TnT1MJpYKNXp4e8NDtYaJd_PYetVmsds_TFsZh4Y.jmZWMcKYLUWxCX1bCO1ipEUlTbmATD_ldwHlr3r9Xec&dib_tag=se&keywords=Laptop+i9&qid=1750721639&sprefix=laptop%2Caps%2C207&sr=8-195,4.3 out of 5 stars,"94,490"
"ASUS Vivobook S16, Intel Core Ultra 7 255H, Metallic Design Laptop(Intel iGPU/16GB RAM/512GB SSD/FHD+/16""/144Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Cool Silver/1.7 Kg) S3607CA-RP090WS",https://amazon.in/ASUS-Vivobook-Metallic-Windows-S3607CA-RP090WS/dp/B0F9YDKLGW/ref=sr_1_103?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.PcCj2ENgMnr-HJUEscXkTQ_PTKxQ7d0s5ZEulG62RTxcGoGea7-_Y3CZwU1g4VtEjq35CvjNfGl1MPvABLLGg9Tgex1EgjVSZi64RcCQoJRGY8YzS8YrveN6AmgoQ99e8KDbWBuZr4DKGde2l2o-kKakeuH0x4O69qwIIuAdQ3T6tp-xMrzgELdpBijF8gg0or5f6h6-D_BauODIJnUGLOZDGAlGBsJGi2r9KOobOaM.SRkNPuUe5ayHTN24L7obvVOqLKMFp1p8cU1D8UZHauc&dib_tag=se&keywords=Laptop+i9&qid=1750721601&sprefix=laptop%2Caps%2C207&sr=8-103,N/A,"92,990"
"Lenovo ThinkBook 14 Intel 13th Gen Core i7 14"" (35.56cm) WUXGA IPS 300 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11 Pro/Fingerprint/Arctic Grey/3Y Premier Support/1.38Kg),21KGA08HIN",https://amazon.in/Lenovo-ThinkBook-Antiglare-Fingerprint-21KGA08HIN/dp/B0F6TQYMKB/ref=sr_1_185?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.owV9zAECp_tjY3Zh5-HxUjlRxbga7rC8aj3ic83gIQ74_wZtAaPcLl6VA-dZgTA1-ntfy5lpY0ce7o01h9u8C9PVzgyzNKVZPzWqMhghgVRi44AD2kGGlbRxgNlqRvq07oKVyEKUVnMHfdKhKYCPLxpn3MMbzYb1ig-cViLb378fhR25bJ50PShCj1gVa3oTik9TnT1MJpYKNXp4e8NDtYaJd_PYetVmsds_TFsZh4Y.jmZWMcKYLUWxCX1bCO1ipEUlTbmATD_ldwHlr3r9Xec&dib_tag=se&keywords=Laptop+i9&qid=1750721639&sprefix=laptop%2Caps%2C207&sr=8-185,N/A,"92,900"
Lenovo ThinkPad E14 AI PC Intel Core Ultra 7 155H | Copilot Key | 16GB RAM | 1TB SSD | 14” WUXGA IPS 300 Nits | Win 11 + Office 2024 | Backlit | Fingerprint | 1.42 kg | 1Y Onsite | Black – 21M7S0SG00,https://amazon.in/Lenovo-ThinkPad-Copilot-Backlit-Fingerprint/dp/B0F1YRJJ44/ref=sr_1_145?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.Bd_XATWCHSnCNKwOsWMjhIAzu7s0JnG7U0v1mrEovmoz__gmqufwDVVuFv4pZeNUv-A1MfJeUz1vbPJZNe-s0eg9KD3P4qcbx6tZiX50Y7BMb_0u3Q2ICZ60QAdfZKuk8Q-M5tp1VJcoN_XD2spPaW5nRcTbV-NtX9b3d8-L0mVgSYw5I8mUrMehQMei_X162P1ThgO0YibJe-NL1g7dXQVbAeHP0mijKA4kwwZD2SA.kbkgNfIWVFYxks7opK4SYRQuTOrNUPE_wGkknbPBm64&dib_tag=se&keywords=Laptop+i9&qid=1750721609&sprefix=laptop%2Caps%2C207&sr=8-145,5.0 out of 5 stars,"92,490"
Lenovo ThinkPad E14 AI PC Intel Core Ultra 7 155H | Copilot Key | 16GB RAM | 1TB SSD | 14” WUXGA IPS 300 Nits | Win 11 + Office 2024 | Backlit | Fingerprint | 1.42 kg | 1Y Onsite | Black – 21M7S0SG00,https://amazon.in/Lenovo-ThinkPad-Copilot-Backlit-Fingerprint/dp/B0F1YRJJ44/ref=sr_1_154?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.3Vg4kuC3iEcDvmrU4WoLy5EVQAKg1LFS8-PHXXeE9qCLQF8gkMwF9QgodpjFTOt9jSnZbJb-hg8slydzbPPvL0C2HmUvTZy_ZmVQdmUvMPmedi0UhkgIT06yyPZmMX9wa9rR9wdGYO1Ys1r7AmR20vQE7aUy-InKQImt1vfcdkRXO1LIl_hjP6NoXj8WFPIN2xljTAU9V1vmQSrDxxpEFSeJYFDLG6tltaazI91aUuI.AHk7NHlJRMITKRjAHjb8Daw7rN1fyTQQV46e5UFrGkw&dib_tag=se&keywords=Laptop+i9&qid=1750721612&sprefix=laptop%2Caps%2C207&sr=8-154,5.0 out of 5 stars,"92,490"
"Lenovo LOQ 2024, AMD Ryzen 7 7435HS, NVIDIA RTX 4060-8GB, 24GB RAM, 512GB SSD, 15.6""/39.6cm, Windows 11, MS Office Home 2024, Grey, 2.4Kg, 83JC00EHIN, 100% sRGB, 3 Mon. Game Pass Gaming Laptop",https://amazon.in/Lenovo-7435HS-4060-8GB-Windows-83JC00EHIN/dp/B0DPQJZ3JR/ref=sr_1_51?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.DHDa_XMmVE6xSkphu8kG6wIzfWD9tu8U0JjP2ctIq8oshk6ejJ8GzUI_bqZp5AQFL_2XgrcQ4wuMtOw57z4z5hiGy8oAbKu4uXtE_FpCkS3HALLedm_8AJUd6_0OJOKMNWDPE_1Wtuy_fWsTT2VRDDWhrcQSTyM-uQUlXnI4R5RhbCTIve7OsxWqYBxr1KJmE1ZrzHCsm8A4l8iIW2O0Z5fPaVGgq3BPW4P1XYlMW-c.paeK3WuO_qoOCeg01n9kkyKN4jOWjHPyVZTkMU9PVEs&dib_tag=se&keywords=Laptop+i9&qid=1750721583&sprefix=laptop%2Caps%2C207&sr=8-51,4.2 out of 5 stars,"91,990"
"ASUS Gaming V16 (2025) with Office 2024 + M365 Basic*, AI PC, Intel Core 7 240H(16GB RAM/512GB SSD/Windows 11 Home/6GB Graphics/RTX 4050/144 Hz)Gaming Laptop (16"", Matte Black,1.95 Kg),V3607VU-RP275WS",https://amazon.in/ASUS-Gaming-Windows-Graphics-V3607VU-RP275WS/dp/B0DSHXWLNW/ref=sr_1_167?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.jlnZ87tH0vnoj-N9t-xhQIyTzn49B6dX2WR-AyD73RZocejv9Q_0R7vXCosGL4xPNTamtDtGBJ8pjtKvRQrTYE1v8-7bPMrlcoMyS8OYCsjLB8vonadMGj5Fqj9WGhBCu3psVIp7l_PQZ8ryfebjCOfaIZa2shoXy95QwToyqox29y7wWwf-33oyWYU6V8i8l_mmeb_A4BEMxiodJmk8oE7B-zi5VyVWLhFhiGYwPNY.ffVCg82IcWdGJ4oZTqH5mX-gkG8_Q0zqQE7dXatkhps&dib_tag=se&keywords=Laptop+i9&qid=1750721635&sprefix=laptop%2Caps%2C207&sr=8-167,2.0 out of 5 stars,"89,990"
"Lenovo Yoga Slim 7 2025 Intel Core Ultra 7 155H 14""(35.5cm) WUXGA-OLED 400Nits Laptop (16GB RAM/512GB SSD/AI PC/2Wx4 Speakers/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.39Kg), 83CV009XIN",https://amazon.in/Lenovo-WUXGA-OLED-400Nits-Speakers-83CV009XIN/dp/B0F8RB221J/ref=sr_1_132?crid=15DEBI9LO0CQM&dib=eyJ2IjoiMSJ9.IXqIg1mhYqJYvYCHLmZd7Yx-428eVLAPMydS9vmJwmEYYgsLYqVhPDdQ7vPDH6mL31aexkv4_ShduM6NwEVFmjaOPEMWne-ppi3xwI1mDpfuK6hLLkA1Y-yXTF4sGDNxeR2YFuXxzYD6bORkaz9z1GJqsk5ckxte8Y5c4Pltvyiy6hlJIY56ygFUOhm1z8UGe1SMv1vgl0yXtAL-4HcpWVQKLyBCWLdshLRAp62biTM.DhPPOC-DFMAhlab5iHnuL5TwCWTHM8ffjtdn7jWcn9g&dib_tag=se&keywords=Laptop+i9&qid=1750721605&sprefix=laptop%2Caps%2C207&sr=8-132,N/A,"89,990"
